"KEGGID"	"Pvalue"	"OddsRatio"	"ExpCount"	"Count"	"Size"	"Term"	"p.adj"
"03010"	3.75431391302359e-41	15.1220125786164	10.684984984985	68	119	"Ribosome"	1.23892359129778e-39
"04510"	8.14979549655005e-07	2.64426523297491	17.957957957958	40	200	"Focal adhesion"	1.34471625693076e-05
"04612"	1.14982882989504e-05	3.58191146641212	7.0036036036036	20	78	"Antigen processing and presentation"	0.000126481171288455
"04141"	3.33480660656091e-05	2.44512651208377	15.1744744744745	32	169	"Protein processing in endoplasmic reticulum"	0.000275121545041275
"04916"	0.000472349157766458	2.58737024221453	8.97897897897898	20	100	"Melanogenesis"	0.00311750444125862
"05200"	0.00197282626235726	1.68037974683544	29.1816816816817	45	325	"Pathways in cancer"	0.00996079415763152
"04150"	0.00211289573040669	3.00724215433281	4.75885885885886	12	53	"mTOR signaling pathway"	0.00996079415763152
"04614"	0.00500931162934491	4.71595634095634	1.70600600600601	6	19	"Renin-angiotensin system"	0.0172005019002619
"05414"	0.00521227330310968	2.25542531657487	7.99129129129129	16	89	"Dilated cardiomyopathy"	0.0172005019002619
"05215"	0.00521227330310968	2.25542531657487	7.99129129129129	16	89	"Prostate cancer"	0.0172005019002619
"05410"	0.00639591925188173	2.2679346181011	7.45255255255255	15	83	"Hypertrophic cardiomyopathy (HCM)"	0.0191877577556452
"04144"	0.00736907848808434	1.6989352668365	19.7537537537538	31	220	"Endocytosis"	0.0202649658422319
"04020"	0.00857857474537901	1.76734449760766	15.9825825825826	26	178	"Calcium signaling pathway"	0.0217763820459621
"04910"	0.0101672745806671	1.86556505109664	12.3012012012012	21	137	"Insulin signaling pathway"	0.0238310356547651
"05218"	0.0108322889339841	2.26101694915254	6.46486486486486	13	72	"Melanoma"	0.0238310356547651
"04360"	0.0124792467650683	1.85510770285857	11.7624624624625	20	131	"Axon guidance"	0.0257384464529535
"03013"	0.0146439094417293	1.71835075493612	15.0846846846847	24	168	"RNA transport"	0.0284264124457098
"04970"	0.0185859633041417	2.08263888888889	6.91381381381381	13	77	"Salivary secretion"	0.0292324915052912
"04512"	0.0201135854390771	1.99438736681887	7.72192192192192	14	86	"ECM-receptor interaction"	0.0292324915052912
"00330"	0.0202621898257102	2.3260667903525	4.84864864864865	10	54	"Arginine and proline metabolism"	0.0292324915052912
"04070"	0.0205421252823368	2.05025641025641	7.0036036036036	13	78	"Phosphatidylinositol signaling system"	0.0292324915052912
"04115"	0.0207685195502247	2.1198069907026	6.28528528528529	12	70	"p53 signaling pathway"	0.0292324915052912
"05222"	0.0220706873903565	1.96673860011259	7.81171171171171	14	87	"Small cell lung cancer"	0.0292324915052912
"00471"	0.022708597696083	20.3389261744966	0.269369369369369	2	3	"D-Glutamine and D-glutamate metabolism"	0.0292324915052912
"05217"	0.0228476337115391	2.2739984882842	4.93843843843844	10	55	"Basal cell carcinoma"	0.0292324915052912
"05211"	0.0230316599738658	2.08353097703477	6.37507507507507	12	71	"Renal cell carcinoma"	0.0292324915052912
"04270"	0.0255747764444297	1.76068965517241	11.0441441441441	18	123	"Vascular smooth muscle contraction"	0.0311073950373086
"05416"	0.0264084580875446	1.91365296803653	7.99129129129129	14	89	"Viral myocarditis"	0.0311073950373086
"04260"	0.027336801699453	1.95882352941176	7.27297297297297	13	81	"Cardiac muscle contraction"	0.0311073950373086
"04110"	0.0340107806075653	1.69493831066118	11.4033033033033	18	127	"Cell cycle"	0.0374118586683218
"05213"	0.0399216410865282	2.13886366328424	4.66906906906907	9	52	"Endometrial cancer"	0.0424972308340461
"04514"	0.0437404009277656	1.59142726858185	13.3786786786787	20	149	"Cell adhesion molecules (CAMs)"	0.0451072884567582
"04340"	0.0492595451903723	2.04312393887946	4.84864864864865	9	54	"Hedgehog signaling pathway"	0.0492595451903723
