"Row.names"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"external_gene_id"	"description"
"1"	"ENSMUSG00000000001"	2783.19498199117	-0.30091242690875	0.0880354050080672	-3.41808420011444	0.000630635941550127	0.00684373584531137	"Gnai3"	"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
"2"	"ENSMUSG00000000031"	44829.3971298111	0.717933616745619	0.0751385302648969	9.55479983724172	1.23823045512818e-21	6.72408666352806e-19	"H19"	"H19 fetal liver mRNA [Source:MGI Symbol;Acc:MGI:95891]"
"3"	"ENSMUSG00000000056"	695.37083178223	-0.589017788433117	0.133008965297571	-4.42840666503459	9.49317833497902e-06	0.000230966647089024	"Narf"	"nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]"
"4"	"ENSMUSG00000000058"	637.399003273526	-0.584015273526335	0.140930701367198	-4.14398898083017	3.41316151472563e-05	0.000668872589666702	"Cav2"	"caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]"
"5"	"ENSMUSG00000000093"	323.820299315497	0.7058630156706	0.159389425112461	4.42854358231458	9.48715497687667e-06	0.000230966647089024	"Tbx2"	"T-box 2 [Source:MGI Symbol;Acc:MGI:98494]"
"6"	"ENSMUSG00000000127"	583.710537292849	-0.41157463712846	0.114328766048328	-3.59992197374442	0.000318312682560149	0.00401991904970845	"Fer"	"fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]"
"7"	"ENSMUSG00000000142"	1808.15281421096	-0.430076999273753	0.0946474755430381	-4.54398806525155	5.51997845173594e-06	0.00014898454763572	"Axin2"	"axin2 [Source:MGI Symbol;Acc:MGI:1270862]"
"8"	"ENSMUSG00000000184"	3511.27078094038	-0.395820010906432	0.0893714348535289	-4.42893203578014	9.4700857347882e-06	0.000230966647089024	"Ccnd2"	"cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]"
"9"	"ENSMUSG00000000305"	775.458918748416	-0.807563621892967	0.139147179473873	-5.80366504694117	6.48808254008749e-09	4.13531495606703e-07	"Cdh4"	"cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]"
"10"	"ENSMUSG00000000346"	1864.71125876041	0.431611896197967	0.0911489768048564	4.73523577913571	2.18800584249604e-06	6.81292828388217e-05	"Dazap2"	"DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]"
"11"	"ENSMUSG00000000628"	290.441942309341	-0.824633670549835	0.146357817182308	-5.63436710403138	1.75702390480636e-08	1.0107354462564e-06	"Hk2"	"hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"
"12"	"ENSMUSG00000000739"	119.523478061109	0.737194659957017	0.21808339227915	3.38033378999075	0.000723978482870219	0.00760149410939373	"Sult5a1"	"sulfotransferase family 5A, member 1 [Source:MGI Symbol;Acc:MGI:1931463]"
"13"	"ENSMUSG00000000740"	8811.15522333179	0.299815107345767	0.0887414902101682	3.37852234209397	0.000728765104148942	0.00764583852699076	"Rpl13"	"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922]"
"14"	"ENSMUSG00000000782"	2157.51311317619	0.572947558675225	0.106418805017001	5.38389393287864	7.28914666543104e-08	3.58541504093811e-06	"Tcf7"	"transcription factor 7, T cell specific [Source:MGI Symbol;Acc:MGI:98507]"
"15"	"ENSMUSG00000000959"	764.190301007231	0.407957861381182	0.101223518193238	4.03026755701558	5.57133993705156e-05	0.000999161307601216	"Oxa1l"	"oxidase assembly 1-like [Source:MGI Symbol;Acc:MGI:1916339]"
"16"	"ENSMUSG00000001138"	535.023072813592	0.459973313556598	0.125201313759926	3.67386970426365	0.00023890459127074	0.00320490981333159	"Cnnm3"	"cyclin M3 [Source:MGI Symbol;Acc:MGI:2151055]"
"17"	"ENSMUSG00000001156"	502.086506032241	-0.653883786980434	0.130691451787621	-5.00326362617063	5.63677715568538e-07	2.11394714545814e-05	"Mxd1"	"MAX dimerization protein 1 [Source:MGI Symbol;Acc:MGI:96908]"
"18"	"ENSMUSG00000001175"	5206.86895876455	-0.547622973761961	0.0936796506847653	-5.84569828942604	5.0444763233033e-09	3.27673734761558e-07	"Calm1"	"calmodulin 1 [Source:MGI Symbol;Acc:MGI:88251]"
"19"	"ENSMUSG00000001270"	954.804304708808	-0.468568538514052	0.102310051005966	-4.5798876445358	4.65225779564755e-06	0.000131035377248363	"Ckb"	"creatine kinase, brain [Source:MGI Symbol;Acc:MGI:88407]"
"20"	"ENSMUSG00000001300"	2693.96615303512	-0.44580344498541	0.12507995576617	-3.56414776655992	0.000365040280241831	0.00447335280994409	"Efnb2"	"ephrin B2 [Source:MGI Symbol;Acc:MGI:105097]"
"21"	"ENSMUSG00000001467"	1065.79463525559	-0.835891304933459	0.139752546399474	-5.98122414559888	2.21466867472492e-09	1.56595530875341e-07	"Cyp51"	"cytochrome P450, family 51 [Source:MGI Symbol;Acc:MGI:106040]"
"22"	"ENSMUSG00000001494"	199.136422181924	-1.11881454128056	0.18784212991412	-5.95614275557925	2.5826075923984e-09	1.80729281826808e-07	"Sost"	"sclerostin [Source:MGI Symbol;Acc:MGI:1921749]"
"23"	"ENSMUSG00000001774"	411.780301329637	-0.610682761780557	0.141622651477556	-4.31204157957273	1.61754004984531e-05	0.00035476128783037	"Chordc1"	"cysteine and histidine-rich domain (CHORD)-containing, zinc-binding protein 1 [Source:MGI Symbol;Acc:MGI:1914167]"
"24"	"ENSMUSG00000001802"	1022.25878359773	0.369542925300032	0.112023631172385	3.2987943832259	0.00097101007319684	0.00958025636171533	"Lrp3"	"low density lipoprotein receptor-related protein 3 [Source:MGI Symbol;Acc:MGI:3584516]"
"25"	"ENSMUSG00000001865"	296.552026433083	0.982531869835789	0.159880720856026	6.14540555343484	7.975946097396e-10	6.44532406061001e-08	"Cpa3"	"carboxypeptidase A3, mast cell [Source:MGI Symbol;Acc:MGI:88479]"
"26"	"ENSMUSG00000001985"	188.685770725659	-0.575604739211734	0.162417256894717	-3.54398756768104	0.000394123829768305	0.0047476709076615	"Grik3"	"glutamate receptor, ionotropic, kainate 3 [Source:MGI Symbol;Acc:MGI:95816]"
"27"	"ENSMUSG00000001986"	652.465963677168	-0.546310470061506	0.11048300027861	-4.94474687222334	7.62428666375185e-07	2.77499506024384e-05	"Gria3"	"glutamate receptor, ionotropic, AMPA3 (alpha 3) [Source:MGI Symbol;Acc:MGI:95810]"
"28"	"ENSMUSG00000002017"	607.438057421163	-0.854044306601438	0.109661674583891	-7.78799256752274	6.80821857105605e-15	1.33954167131387e-12	"Fam98a"	"family with sequence similarity 98, member A [Source:MGI Symbol;Acc:MGI:1919972]"
"29"	"ENSMUSG00000002058"	200.087663976836	0.560210302408781	0.15684480859663	3.57174909020749	0.000354605060805116	0.00438444290117509	"Unc119"	"unc-119 homolog (C. elegans) [Source:MGI Symbol;Acc:MGI:1328357]"
"30"	"ENSMUSG00000002104"	40.2112460030074	1.28904123975854	0.338763101850536	3.80514062103278	0.000141723650839182	0.00211432998218981	"Rapsn"	"receptor-associated protein of the synapse [Source:MGI Symbol;Acc:MGI:99422]"
"31"	"ENSMUSG00000002565"	24.6756817637483	-1.30579504776622	0.395401120048808	-3.30245662330201	0.000958419100532827	0.00948396600923775	"Scin"	"scinderin [Source:MGI Symbol;Acc:MGI:1306794]"
"32"	"ENSMUSG00000002718"	1027.82949160852	-0.40297958768743	0.104634496858045	-3.85130716721601	0.000117489023075038	0.00182706870248192	"Cse1l"	"chromosome segregation 1-like (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1339951]"
"33"	"ENSMUSG00000002748"	3126.29529756509	-0.256050593191953	0.0771146229026524	-3.32038961683292	0.000898918991473378	0.00905992889995737	"Baz1b"	"bromodomain adjacent to zinc finger domain, 1B [Source:MGI Symbol;Acc:MGI:1353499]"
"34"	"ENSMUSG00000002944"	1892.75030173676	0.408253240951345	0.113584967957994	3.59425413671223	0.000325322181618433	0.00409101649024614	"Cd36"	"CD36 antigen [Source:MGI Symbol;Acc:MGI:107899]"
"35"	"ENSMUSG00000002985"	3593.5119869801	0.58507401792513	0.136939628439189	4.27249602320154	1.93297002003781e-05	0.000415221534684072	"Apoe"	"apolipoprotein E [Source:MGI Symbol;Acc:MGI:88057]"
"36"	"ENSMUSG00000003226"	2180.33272845821	-0.557967314093642	0.0981611900929451	-5.68419467577078	1.31430497982254e-08	7.82587912546966e-07	"Ranbp2"	"RAN binding protein 2 [Source:MGI Symbol;Acc:MGI:894323]"
"37"	"ENSMUSG00000003420"	2253.70948121122	0.335902352868385	0.0971323201820632	3.45819344414687	0.000543810763911331	0.00611663208853375	"Fcgrt"	"Fc receptor, IgG, alpha chain transporter [Source:MGI Symbol;Acc:MGI:103017]"
"38"	"ENSMUSG00000003429"	6499.66300386809	0.331957917190021	0.0756064836304599	4.39060119251842	1.13037694746798e-05	0.000263224655897517	"Rps11"	"ribosomal protein S11 [Source:MGI Symbol;Acc:MGI:1351329]"
"39"	"ENSMUSG00000003500"	1042.17551540907	-0.355819862817367	0.103438550768114	-3.43991539107151	0.000581896066968135	0.00643955075544124	"Impdh1"	"inosine 5'-phosphate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:96567]"
"40"	"ENSMUSG00000003814"	11292.655860154	-0.510950534102763	0.094920635941846	-5.3829236291232	7.32856374960222e-08	3.59178994457039e-06	"Calr"	"calreticulin [Source:MGI Symbol;Acc:MGI:88252]"
"41"	"ENSMUSG00000003970"	8884.82692395541	0.308440085781678	0.0773631985441939	3.9869096881443	6.69394911850653e-05	0.00116359863294295	"Rpl8"	"ribosomal protein L8 [Source:MGI Symbol;Acc:MGI:1350927]"
"42"	"ENSMUSG00000004069"	458.163719583666	-0.401836437476786	0.120349297883581	-3.3389180040377	0.000841053861859275	0.00857862301172165	"Dnaja3"	"DnaJ (Hsp40) homolog, subfamily A, member 3 [Source:MGI Symbol;Acc:MGI:1933786]"
"43"	"ENSMUSG00000004105"	6728.45539766034	0.476672668593698	0.0899719227074547	5.29801580592656	1.17067835101824e-07	5.40582629028016e-06	"Angptl2"	"angiopoietin-like 2 [Source:MGI Symbol;Acc:MGI:1347002]"
"44"	"ENSMUSG00000004394"	699.283866862466	0.426045928696783	0.102399556238763	4.16062280292874	3.17380902137998e-05	0.000631783449769129	"Tmed4"	"transmembrane emp24 protein transport domain containing 4 [Source:MGI Symbol;Acc:MGI:1915070]"
"45"	"ENSMUSG00000004415"	2868.83395090608	0.486951489320048	0.0885341091178742	5.50015687933022	3.79453484509537e-08	2.00899485383152e-06	"Col26a1"	"collagen, type XXVI, alpha 1 [Source:MGI Symbol;Acc:MGI:2155345]"
"46"	"ENSMUSG00000004473"	178.561673737004	-0.679722061081891	0.197428449999475	-3.44287796963253	0.000575558959933944	0.00638381408501897	"Clec11a"	"C-type lectin domain family 11, member a [Source:MGI Symbol;Acc:MGI:1298219]"
"47"	"ENSMUSG00000004508"	820.198443649372	0.460894224004018	0.130176743615221	3.54052660409404	0.000399329373198604	0.0047891303626716	"Gab2"	"growth factor receptor bound protein 2-associated protein 2 [Source:MGI Symbol;Acc:MGI:1333854]"
"48"	"ENSMUSG00000004558"	481.698954057633	0.710440414487052	0.118682720552274	5.98604759969365	2.15001471296444e-09	1.53185457125333e-07	"Ndrg2"	"N-myc downstream regulated gene 2 [Source:MGI Symbol;Acc:MGI:1352498]"
"49"	"ENSMUSG00000004642"	1045.02430864838	-0.406907927550095	0.10930829784642	-3.7225712554943	0.000197204230029131	0.0027458919250005	"Slbp"	"stem-loop binding protein [Source:MGI Symbol;Acc:MGI:108402]"
